label, pred
0, 1.0
0, 0.9970529079437256
1, 0.9998573064804077
0, 0.9997207522392273
1, 0.9987442493438721
1, 0.9999578595161438
0, 0.9996015429496765
1, 0.9997739195823669
1, 0.9994255304336548
0, 0.9997750520706177
1, 0.9998924732208252
0, 0.9400667548179626
0, 0.9989917278289795
0, 0.99649977684021
0, 0.9972704648971558
0, 0.9992737174034119
1, 0.9991888999938965
0, 0.9999861121177673
0, 0.9786913394927979
1, 0.9404846429824829
0, 0.9999246597290039
0, 0.9497169256210327
1, 0.9997693300247192
0, 0.9991851449012756
0, 0.9999997615814209
1, 0.9987441897392273
0, 0.9885180592536926
0, 0.9972701668739319
1, 0.9997203350067139
0, 0.9999949336051941
0, 0.9999581575393677
0, 0.9997211694717407
1, 0.999424934387207
0, 1.0
0, 1.0
0, 0.9996042251586914
1, 0.9988023042678833
1, 0.9924870729446411
0, 0.9973565340042114
1, 0.9999998807907104
1, 0.9995995759963989
1, 0.9341830015182495
1, 0.9986230134963989
0, 0.9994236826896667
0, 0.9999997615814209
1, 0.9955527186393738
1, 0.9999306201934814
1, 1.0
0, 0.9910190105438232
1, 0.9968735575675964
1, 0.9998573064804077
1, 0.9996002316474915
0, 0.9498186707496643
1, 0.9999235272407532
1, 1.0
0, 0.9864141941070557
1, 1.0
0, 0.9976919889450073
0, 0.9943102598190308
1, 0.9996026754379272
0, 0.9999145269393921
0, 0.9999998807907104
0, 0.9992740154266357
0, 0.9994434118270874
0, 0.9994262456893921
1, 0.999184250831604
0, 1.0
0, 0.9999914765357971
0, 0.9992741346359253
0, 0.9997825622558594
1, 0.9997721910476685
0, 0.987410306930542
1, 0.9994251728057861
0, 0.9995768070220947
0, 0.9410797357559204
0, 0.9999581575393677
1, 1.0
0, 0.9994113445281982
0, 0.9949852228164673
0, 0.9885330200195312
1, 0.9410387277603149
0, 0.9976943731307983
1, 0.9994257688522339
0, 0.9998577833175659
0, 0.9987707734107971
0, 0.9991840124130249
1, 0.994307279586792
0, 0.9920457601547241
0, 0.9360768795013428
1, 0.9987443089485168
1, 0.9955601692199707
0, 0.9999521970748901
1, 0.998354971408844
1, 1.0
1, 0.9999244213104248
0, 0.9997217059135437
1, 1.0000001192092896
0, 0.9997202754020691
1, 1.0000001192092896
0, 0.9999098181724548
0, 0.9991844892501831
0, 0.9982655048370361
0, 0.9983527660369873
0, 0.999424934387207
1, 1.0
0, 0.9924894571304321
0, 0.9981153011322021
1, 0.9924688339233398
0, 0.9397678375244141
0, 0.9998577833175659
1, 0.9999580979347229
1, 0.9999999403953552
0, 0.9998104572296143
1, 0.9964988827705383
1, 0.9991835355758667
1, 0.9987441897392273
1, 0.9972724318504333
0, 0.9977723360061646
1, 0.9987442493438721
0, 0.9999861121177673
1, 0.9997215270996094
1, 0.9999728202819824
1, 0.9994230270385742
0, 0.9983550310134888
0, 0.998750627040863
1, 1.0
0, 1.0
1, 1.0
0, 0.9991838335990906
0, 0.9473793506622314
0, 0.99992436170578
0, 0.990488588809967
1, 1.0
1, 0.9943137168884277
1, 0.9987434148788452
1, 0.9999578595161438
0, 0.9999692440032959
1, 0.9994250535964966
1, 0.999424159526825
0, 0.9999380111694336
0, 0.9997700452804565
1, 0.9999842047691345
0, 0.9999310970306396
0, 0.9836795330047607
1, 0.9981180429458618
1, 0.9986228346824646
0, 0.9999999403953552
1, 0.9999516606330872
1, 0.9986864328384399
0, 0.9991849660873413
0, 0.9998575448989868
0, 0.9963303208351135
0, 0.9999558925628662
1, 0.9991833567619324
1, 0.998791515827179
1, 1.0
0, 0.9976918697357178
0, 0.9999992847442627
1, 1.0
0, 0.9924734830856323
1, 1.0
1, 0.9997746348381042
1, 1.0
1, 0.9998722076416016
0, 0.9909763336181641
0, 0.9999999403953552
1, 0.9999555349349976
0, 0.9943142533302307
0, 0.9990028142929077
0, 0.9874062538146973
1, 0.99942547082901
1, 0.9983536005020142
0, 0.9943141937255859
0, 0.9981191754341125
0, 0.9994420409202576
